search_id,date,source,status,query_or_action,limits,coverage,notes
Q001,2026-09-02,Web discovery,executed,"standardized patient case development volunteered information only if asked opening statement guideline research",English; no date limit,Top-ranked results reviewed,"Seeded ASPE standards; practical case-development literature"
Q002,2026-09-02,Web discovery,executed,"ASPE Standards of Best Practice standardized patient case development article",English; no date limit,Top-ranked results reviewed,"Located ASPE SOBP and official case template"
Q003,2026-09-02,Web discovery,executed,"virtual standardized patient information disclosure clinical interview study",English; no date limit,Top-ranked results reviewed,"Seeded classical VP and interaction-fidelity literature"
Q004,2026-09-02,Web discovery,executed,"large language model standardized patient medical education systematic review 2025",English; 2020 onward,Top-ranked results reviewed,"Seeded LLM-VP reviews and empirical studies"
Q005,2026-09-02,Web discovery,executed,"site:pubmed.ncbi.nlm.nih.gov standardized patient case disclosure information only when asked",English; no date limit,Top-ranked results reviewed,"Prompted-only disclosure concepts"
Q006,2026-09-02,Web discovery,executed,"site:pmc.ncbi.nlm.nih.gov virtual standardized patient natural language interview consistency information disclosure",English; no date limit,Top-ranked results reviewed,"Role consistency and virtual interview studies"
Q007,2026-09-02,Web discovery,executed,"simulated patient case script opening statement volunteer information only when asked PDF university",English; no date limit,Top-ranked results reviewed,"Official and university guidance; rights checked separately"
Q008,2026-09-02,Web discovery,executed,"OSCE standardized patient case development opening statement patient script disclosure medical education",English; no date limit,Top-ranked results reviewed,"Opening-statement and timing guidance"
Q009,2026-09-02,Web discovery,executed,"PRISMA-ScR checklist official scoping review extension",English; current guidance,Top-ranked results reviewed,"Located reporting framework"
Q010,2026-09-02,Web discovery,executed,"JBI Manual evidence synthesis scoping reviews official",English; current guidance,Top-ranked results reviewed,"Located review methodology"
Q011,2026-09-02,Web discovery,executed,"medical education literature review virtual standardized patients systematic review",English; no date limit,Top-ranked results reviewed,"Located VP effectiveness and LLM-VP reviews"
Q012,2026-09-02,Web discovery,executed,"virtual standardized patient role consistency open closed ended questions divulge appropriate amounts information",English; no date limit,Top-ranked results reviewed,"Located empirical human-SP disclosure/fidelity study"
Q013,2026-09-02,Web discovery,executed,"Robustness of a Large Language Model premature disclosure virtual patient",English; 2020 onward,Top-ranked results reviewed,"Located turn-level contamination and forbidden-information benchmark"
Q014,2026-09-02,Web discovery,executed,"Providing clinical information that the patient could not realistically know standardized virtual patients",English; 2020 onward,Top-ranked results reviewed,"Located explicit greeting and exam-knowledge failure examples"
Q015,2026-09-02,Web discovery,executed,"한국 표준화 환자 교육 사례 개발 CPX 정보 공개 연구",Korean; no date limit,Top-ranked results reviewed,"Domestic CPX implementation and case-development seed records"
Q016,2026-09-02,Web discovery,executed,"표준화환자 훈련 CPX 환자 대본 문진 연구 한국",Korean; no date limit,Top-ranked results reviewed,"Domestic SP training and script records"
Q017,2026-09-02,Web discovery,executed,"site:kci.go.kr 표준화 환자 CPX 연구",Korean; no date limit,Top-ranked results reviewed,"Located KCI records including CURA"
Q018,2026-09-02,Web discovery,executed,"Healthcare Simulation Standards of Best Practice Simulation Design 2021 official DOI",English; current standard,Top-ranked results reviewed,"Located INACSL design standard DOI"
Q019,2026-09-02,Web discovery,executed,"Standardized Patients Part 2 Developing a Case 2011 DOI",English; no date limit,Top-ranked results reviewed,"Located DOI and abstract-level record"
Q020,2026-09-02,Web discovery,executed,"Guidelines for the development of objective structured clinical examination OSCE cases Medical Council of Canada PDF",English; no date limit,Top-ranked results reviewed,"Located secondary-hosted MCC guideline; metadata/principles only"
Q021,2026-09-02,Web discovery,executed,"site:koreamed.org standardized patient Korea CPX case development",Korean or English; no date limit,Top-ranked results reviewed,"Located Korean medical licensing and SP-program history records"
Q022,2026-09-02,Web discovery,executed,"site:koreamed.org standardized patient history taking Korea",Korean or English; no date limit,Top-ranked results reviewed,"Located Korean CPX/SP evaluation studies"
Q023,2026-09-02,Web discovery,executed,"site:kci.go.kr 인공지능 표준화 환자",Korean; no date limit,Top-ranked results reviewed,"Confirmed CURA bibliographic metadata and 2025 publication year"
Q024,2026-09-02,Web discovery,executed,"site:kci.go.kr 표준화환자 대본",Korean; no date limit,Top-ranked results reviewed,"No directly validated Korean turn-level disclosure taxonomy located"
L001,2026-09-02,Local read-only corpus,executed,"rg for SP2B/SP2C disclosure modes and SP2D acceptance/over-disclosure reports",Accepted local artifacts only,Targeted report scan,"No local files modified; failed parser branch remains excluded"
DB001,2026-09-02,PubMed/MEDLINE,executed,"(""standardized patient""[Title/Abstract] OR ""simulated patient""[Title/Abstract]) AND (""case development""[Title/Abstract] OR script[Title/Abstract] OR disclosure[Title/Abstract] OR ""role fidelity""[Title/Abstract]) AND (OSCE[Title/Abstract] OR CPX[Title/Abstract] OR ""history taking""[Title/Abstract])",No date limit,27 records,"Official E-utilities esearch; retmax 100; relevance sort; title screen recorded in pubmed-title-screen.csv"
DB002,2026-09-02,PubMed/MEDLINE,executed,"(""large language model""[Title/Abstract] OR ""generative AI""[Title/Abstract]) AND (""virtual patient""[Title/Abstract] OR ""standardized patient""[Title/Abstract] OR ""simulated patient""[Title/Abstract]) AND (""history taking""[Title/Abstract] OR ""clinical interview""[Title/Abstract] OR OSCE[Title/Abstract]) AND (2020:3000[pdat])",2020 onward,31 records,"Official E-utilities esearch; retmax 100; relevance sort; title screen recorded in pubmed-title-screen.csv"
DB003,not_run,KoreaMed/KCI/RISS,planned,"(표준화환자 OR 가상환자 OR 인공지능 표준화 환자) AND (대본 OR 사례개발 OR 정보공개 OR 역할충실도 OR 문진)",Korean; no date limit,Full reproducible query pending,"Requires database-native screening"
